,equipo,nit,news_id,participacion,categoria
131,enelpi,900378212,news59900,Sector,Macroeconomia
132,enelpi,900378212,news61729,No Aplica,Macroeconomia
133,enelpi,900378212,news68375,No Aplica,Regulacion
134,enelpi,900378212,news73818,No Aplica,Innovacion
135,enelpi,900378212,news73820,No Aplica,Macroeconomia
136,enelpi,900378212,news73822,No Aplica,Descartable
137,enelpi,900378212,news73824,No Aplica,Macroeconomia
138,enelpi,900378212,news73827,No Aplica,Macroeconomia
139,enelpi,900378212,news73829,No Aplica,Innovacion
140,enelpi,900378212,news73831,No Aplica,Descartable
141,enelpi,900378212,news73833,No Aplica,Descartable
142,enelpi,900378212,news73839,No Aplica,Macroeconomia
143,enelpi,900378212,news73841,No Aplica,Innovacion
144,enelpi,900378212,news73842,No Aplica,Macroeconomia
145,enelpi,900378212,news73845,No Aplica,Macroeconomia
146,enelpi,900378212,news73847,No Aplica,Descartable
147,enelpi,900378212,news73852,No Aplica,Descartable
148,enelpi,900378212,news73868,No Aplica,Sostenibilidad
149,enelpi,900378212,news73875,Sector,Macroeconomia
150,enelpi,900378212,news73876,No Aplica,Descartable
151,enelpi,900378212,news73880,No Aplica,Macroeconomia
152,enelpi,900378212,news73881,No Aplica,Descartable
153,enelpi,900378212,news73884,No Aplica,Descartable
154,enelpi,900378212,news73888,Sector,Macroeconomia
155,enelpi,900378212,news73889,No Aplica,Descartable
156,enelpi,900378212,news73890,No Aplica,Macroeconomia
157,enelpi,900378212,news73894,No Aplica,Macroeconomia
158,enelpi,900378212,news73898,No Aplica,Macroeconomia
159,enelpi,900378212,news73905,Sector,Macroeconomia
160,enelpi,900378212,news73906,No Aplica,Macroeconomia
161,enelpi,900378212,news73907,No Aplica,Innovacion
162,enelpi,900378212,news73908,No Aplica,Macroeconomia
163,enelpi,900378212,news73913,No Aplica,Macroeconomia
164,enelpi,900378212,news73914,No Aplica,Macroeconomia
165,enelpi,900378212,news73916,No Aplica,Descartable
166,enelpi,900378212,news73926,No Aplica,Descartable
167,enelpi,900378212,news73928,No Aplica,Descartable
168,enelpi,900378212,news73937,Sector,Macroeconomia
169,enelpi,900378212,news73939,Sector,Macroeconomia
170,enelpi,900378212,news73941,Sector,Macroeconomia
171,enelpi,900378212,news86936,No Aplica,Innovacion
172,enelpi,900378212,news96850,No Aplica,Innovacion
173,enelpi,900378212,news96851,Cliente,Macroeconomia
174,enelpi,900378212,news96853,Sector,Regulacion
175,enelpi,900378212,news96854,Sector,Regulacion
176,enelpi,900378212,news96855,No Aplica,Descartable
177,enelpi,900378212,news96856,No Aplica,Innovacion
178,enelpi,900378212,news96857,No Aplica,Innovacion
179,enelpi,900378212,news96862,Sector,Macroeconomia
180,enelpi,900378212,news96863,No Aplica,Descartable
181,enelpi,900378212,news96867,Sector,Regulacion
182,enelpi,900378212,news96888,No Aplica,Innovacion
183,enelpi,900378212,news96890,Sector,Regulacion
184,enelpi,900378212,news96896,Sector,Regulacion
185,enelpi,900378212,news98004,No Aplica,Macroeconomia
186,enelpi,900378212,news98971,No Aplica,Descartable
187,enelpi,860034313,news10011,Sector,Regulacion
188,enelpi,860034313,news10201,No Aplica,Regulacion
189,enelpi,860034313,news10236,No Aplica,Regulacion
190,enelpi,860034313,news10239,No Aplica,Innovacion
191,enelpi,860034313,news10240,Sector,Macroeconomia
192,enelpi,860034313,news10276,No Aplica,Descartable
193,enelpi,860034313,news10292,No Aplica,Macroeconomia
194,enelpi,860034313,news10297,No Aplica,Regulacion
195,enelpi,860034313,news10299,Sector,Macroeconomia
196,enelpi,860034313,news10333,Cliente,Sostenibilidad
197,enelpi,860034313,news10337,Sector,Macroeconomia
198,enelpi,860034313,news10340,Sector,Innovacion
199,enelpi,860034313,news10341,Cliente,Innovacion
200,enelpi,860034313,news10343,Sector,Macroeconomia
201,enelpi,860034313,news10348,Cliente,Innovacion
202,enelpi,860034313,news10351,Sector,Innovacion
203,enelpi,860034313,news10354,Cliente,Otra
204,enelpi,860034313,news10356,No Aplica,Innovacion
205,enelpi,860034313,news10357,No Aplica,Innovacion
206,enelpi,860034313,news10358,Sector,Macroeconomia
207,enelpi,860034313,news10392,Cliente,Otra
208,enelpi,860034313,news10399,Sector,Macroeconomia
209,enelpi,860034313,news10775,Sector,Macroeconomia
210,enelpi,860034313,news12998,No Aplica,Macroeconomia
211,enelpi,860034313,news13541,No Aplica,Innovacion
212,enelpi,860034313,news14869,No Aplica,Descartable
213,enelpi,860034313,news15354,No Aplica,Macroeconomia
214,enelpi,860034313,news15355,No Aplica,Innovacion
215,enelpi,860034313,news15393,Sector,Macroeconomia
216,enelpi,860034313,news15682,No Aplica,Descartable
217,enelpi,860034313,news15683,No Aplica,Descartable
218,enelpi,860034313,news17206,Sector,Macroeconomia
219,enelpi,860034313,news17454,No Aplica,Innovacion
220,enelpi,860034313,news27077,Sector,Macroeconomia
221,enelpi,860034313,news29406,No Aplica,Innovacion
222,enelpi,860034313,news31120,No Aplica,Regulacion
223,enelpi,860034313,news31123,No Aplica,Descartable
224,enelpi,860034313,news31824,No Aplica,Innovacion
225,enelpi,860034313,news34771,No Aplica,Descartable
226,enelpi,860034313,news38363,Sector,Macroeconomia
227,enelpi,860034313,news44801,No Aplica,Macroeconomia
228,enelpi,860034313,news44818,No Aplica,Innovacion
229,enelpi,860034313,news44836,Sector,Macroeconomia
230,enelpi,860034313,news45223,No Aplica,Innovacion
231,enelpi,860034313,news45224,No Aplica,Innovacion
232,enelpi,860034313,news45226,No Aplica,Regulacion
233,enelpi,860034313,news45352,Cliente,Otra
234,enelpi,860034313,news45356,Cliente,Regulacion
235,enelpi,860034313,news45987,No Aplica,Macroeconomia
236,enelpi,860034313,news45989,No Aplica,Innovacion
237,enelpi,860034313,news45991,No Aplica,Innovacion
238,enelpi,860034313,news45996,No Aplica,Regulacion
239,enelpi,860034313,news45997,No Aplica,Sostenibilidad
240,enelpi,860034313,news46003,No Aplica,Regulacion
241,enelpi,860034313,news46015,No Aplica,Macroeconomia
242,enelpi,860034313,news46016,No Aplica,Descartable
243,enelpi,860034313,news46017,Sector,Innovacion
244,enelpi,860034313,news46021,No Aplica,Innovacion
245,enelpi,860034313,news46025,Sector,Macroeconomia
246,enelpi,860034313,news46028,No Aplica,Descartable
247,enelpi,860034313,news46100,Cliente,Otra
248,enelpi,860034313,news59900,Sector,Macroeconomia
249,enelpi,860034313,news61908,No Aplica,Regulacion
250,enelpi,860034313,news86936,No Aplica,Innovacion
251,enelpi,860034313,news89833,No Aplica,Descartable
252,enelpi,860034313,news90319,No Aplica,Macroeconomia
253,enelpi,860034313,news90328,No Aplica,Macroeconomia
254,enelpi,860034313,news90330,Cliente,Innovacion
255,enelpi,860034313,news90335,No Aplica,Regulacion
256,enelpi,860034313,news90338,No Aplica,Descartable
257,enelpi,860034313,news96850,No Aplica,Innovacion
258,enelpi,860034313,news96851,Sector,Macroeconomia
259,enelpi,860034313,news96853,Sector,Regulacion
260,enelpi,860034313,news96854,Sector,Regulacion
261,enelpi,860034313,news96855,No Aplica,Descartable
262,enelpi,860034313,news96856,No Aplica,Innovacion
263,enelpi,860034313,news96857,No Aplica,Innovacion
264,enelpi,860034313,news96862,Sector,Macroeconomia
265,enelpi,860034313,news96863,No Aplica,Descartable
266,enelpi,860034313,news96867,Sector,Regulacion
267,enelpi,860034313,news96888,No Aplica,Innovacion
268,enelpi,860034313,news96890,Sector,Regulacion
269,enelpi,860034313,news96896,Sector,Regulacion
270,enelpi,860034313,news98004,No Aplica,Macroeconomia
271,enelpi,860034313,news98971,No Aplica,Descartable
272,enelpi,900166896,news10015,Sector,Otra
273,enelpi,900166896,news14742,No Aplica,Descartable
274,enelpi,900166896,news17111,Sector,Macroeconomia
275,enelpi,900166896,news17760,No Aplica,Descartable
276,enelpi,900166896,news18504,Sector,Otra
277,enelpi,900166896,news18508,Sector,Otra
278,enelpi,900166896,news18510,Sector,Otra
279,enelpi,900166896,news18511,Sector,Otra
280,enelpi,900166896,news18516,Sector,Otra
281,enelpi,900166896,news18521,Sector,Otra
282,enelpi,900166896,news18522,Sector,Otra
283,enelpi,900166896,news18525,No Aplica,Descartable
284,enelpi,900166896,news18526,Sector,Otra
285,enelpi,900166896,news18533,Sector,Otra
286,enelpi,900166896,news21435,Sector,Macroeconomia
287,enelpi,900166896,news23481,Sector,Macroeconomia
288,enelpi,900166896,news23492,Sector,Macroeconomia
289,enelpi,900166896,news23721,Sector,Sostenibilidad
290,enelpi,900166896,news44967,Sector,Sostenibilidad
291,enelpi,900166896,news61325,No Aplica,Descartable
292,enelpi,900166896,news70039,Sector,Regulacion
293,enelpi,900166896,news94824,Sector,Macroeconomia
294,enelpi,900166896,news95717,No Aplica,Descartable
295,enelpi,900166896,news95726,No Aplica,Descartable
296,enelpi,900166896,news95730,No Aplica,Descartable
297,enelpi,900166896,news95733,No Aplica,Descartable
298,enelpi,900166896,news95734,No Aplica,Descartable
299,enelpi,900166896,news95736,No Aplica,Descartable
300,enelpi,900166896,news95738,No Aplica,Descartable
301,enelpi,900166896,news95739,No Aplica,Descartable
302,enelpi,900166896,news95740,No Aplica,Descartable
303,enelpi,900166896,news95745,Sector,Regulacion
304,enelpi,900166896,news95746,Sector,Otra
305,enelpi,900166896,news96201,Sector,Macroeconomia
306,enelpi,900166896,news96221,No Aplica,Macroeconomia
307,enelpi,900166896,news96267,No Aplica,Descartable
308,enelpi,900166896,news98065,No Aplica,Sostenibilidad
309,enelpi,900166896,news98068,No Aplica,Regulacion
310,enelpi,900166896,news98074,Sector,Otra
311,enelpi,900166896,news98087,Sector,Macroeconomia
312,enelpi,900166896,news98089,Sector,Macroeconomia
313,enelpi,900166896,news98090,No Aplica,Descartable
314,enelpi,900166896,news98094,Sector,Otra
315,enelpi,900166896,news98103,Sector,Macroeconomia
316,enelpi,900166896,news98106,Sector,Macroeconomia
317,enelpi,900166896,news98108,Sector,Otra
318,enelpi,900166896,news98112,No Aplica,Macroeconomia
319,enelpi,860025792,news10015,Sector,Otra
320,enelpi,860025792,news12573,Sector,Otra
321,enelpi,860025792,news14742,No Aplica,Descartable
322,enelpi,860025792,news17111,Cliente,Macroeconomia
323,enelpi,860025792,news17760,No Aplica,Descartable
324,enelpi,860025792,news21435,Sector,Macroeconomia
325,enelpi,860025792,news23481,Sector,Macroeconomia
326,enelpi,860025792,news23492,Sector,Macroeconomia
327,enelpi,860025792,news23721,Sector,Sostenibilidad
328,enelpi,860025792,news44967,Sector,Sostenibilidad
329,enelpi,860025792,news61325,No Aplica,Descartable
330,enelpi,860025792,news70039,Sector,Regulacion
331,enelpi,860025792,news94824,Sector,Macroeconomia
332,enelpi,860025792,news95717,No Aplica,Descartable
333,enelpi,860025792,news95726,No Aplica,Descartable
334,enelpi,860025792,news95730,No Aplica,Descartable
335,enelpi,860025792,news95733,No Aplica,Descartable
336,enelpi,860025792,news95734,No Aplica,Descartable
337,enelpi,860025792,news95736,No Aplica,Descartable
338,enelpi,860025792,news95738,No Aplica,Descartable
339,enelpi,860025792,news95739,No Aplica,Descartable
340,enelpi,860025792,news95740,No Aplica,Descartable
341,enelpi,860025792,news95745,Sector,Regulacion
342,enelpi,860025792,news95746,Sector,Otra
343,enelpi,860025792,news96201,Sector,Macroeconomia
344,enelpi,860025792,news96221,No Aplica,Macroeconomia
345,enelpi,860025792,news96267,No Aplica,Descartable
346,enelpi,860025792,news98065,No Aplica,Sostenibilidad
347,enelpi,860025792,news98068,No Aplica,Regulacion
348,enelpi,860025792,news98074,Sector,Otra
349,enelpi,860025792,news98087,Sector,Macroeconomia
350,enelpi,860025792,news98089,Sector,Macroeconomia
351,enelpi,860025792,news98090,No Aplica,Descartable
352,enelpi,860025792,news98094,Sector,Otra
353,enelpi,860025792,news98103,Sector,Macroeconomia
354,enelpi,860025792,news98106,Sector,Macroeconomia
355,enelpi,860025792,news98108,Sector,Otra
356,enelpi,860025792,news98112,No Aplica,Macroeconomia
357,enelpi,901098386,news10015,Sector,Otra
358,enelpi,901098386,news14742,No Aplica,Descartable
359,enelpi,901098386,news17111,Sector,Macroeconomia
360,enelpi,901098386,news17760,No Aplica,Descartable
361,enelpi,901098386,news21435,Sector,Macroeconomia
362,enelpi,901098386,news23481,Sector,Macroeconomia
363,enelpi,901098386,news23492,Sector,Macroeconomia
364,enelpi,901098386,news23721,Sector,Sostenibilidad
365,enelpi,901098386,news44967,Sector,Sostenibilidad
366,enelpi,901098386,news61325,No Aplica,Descartable
367,enelpi,901098386,news70039,Sector,Regulacion
368,enelpi,901098386,news94824,Sector,Macroeconomia
369,enelpi,901098386,news95717,No Aplica,Descartable
370,enelpi,901098386,news95726,No Aplica,Descartable
371,enelpi,901098386,news95730,No Aplica,Descartable
372,enelpi,901098386,news95733,No Aplica,Descartable
373,enelpi,901098386,news95734,No Aplica,Descartable
374,enelpi,901098386,news95736,No Aplica,Descartable
375,enelpi,901098386,news95738,No Aplica,Descartable
376,enelpi,901098386,news95739,No Aplica,Descartable
377,enelpi,901098386,news95740,No Aplica,Descartable
378,enelpi,901098386,news95745,Sector,Regulacion
379,enelpi,901098386,news95746,Sector,Otra
380,enelpi,901098386,news96201,Sector,Macroeconomia
381,enelpi,901098386,news96221,No Aplica,Macroeconomia
382,enelpi,901098386,news96267,No Aplica,Descartable
383,enelpi,901098386,news98065,No Aplica,Sostenibilidad
384,enelpi,901098386,news98068,No Aplica,Regulacion
385,enelpi,901098386,news98074,Sector,Otra
386,enelpi,901098386,news98087,Sector,Macroeconomia
387,enelpi,901098386,news98089,Sector,Macroeconomia
388,enelpi,901098386,news98090,No Aplica,Descartable
389,enelpi,901098386,news98094,Sector,Otra
390,enelpi,901098386,news98103,Sector,Macroeconomia
391,enelpi,901098386,news98106,Sector,Macroeconomia
392,enelpi,901098386,news98108,Sector,Otra
393,enelpi,901098386,news98112,No Aplica,Macroeconomia
394,enelpi,830092963,news10015,Sector,Otra
395,enelpi,830092963,news14742,No Aplica,Descartable
396,enelpi,830092963,news17111,No Aplica,Macroeconomia
397,enelpi,830092963,news17760,No Aplica,Descartable
398,enelpi,830092963,news21435,Sector,Macroeconomia
399,enelpi,830092963,news23481,Sector,Macroeconomia
400,enelpi,830092963,news23492,Sector,Macroeconomia
401,enelpi,830092963,news23721,Sector,Sostenibilidad
402,enelpi,830092963,news44967,Sector,Sostenibilidad
403,enelpi,830092963,news61325,No Aplica,Descartable
404,enelpi,830092963,news70039,Sector,Regulacion
405,enelpi,830092963,news94824,Sector,Macroeconomia
406,enelpi,830092963,news95717,No Aplica,Descartable
407,enelpi,830092963,news95726,No Aplica,Descartable
408,enelpi,830092963,news95730,No Aplica,Descartable
409,enelpi,830092963,news95733,Sector,Otra
410,enelpi,830092963,news95734,Sector,Otra
411,enelpi,830092963,news95736,Sector,Otra
412,enelpi,830092963,news95738,Sector,Otra
413,enelpi,830092963,news95739,Sector,Otra
414,enelpi,830092963,news95740,Sector,Otra
415,enelpi,830092963,news95745,Sector,Regulacion
416,enelpi,830092963,news95746,Sector,Otra
417,enelpi,830092963,news96201,Sector,Macroeconomia
418,enelpi,830092963,news96221,No Aplica,Macroeconomia
419,enelpi,830092963,news96267,No Aplica,Descartable
420,enelpi,830092963,news98065,No Aplica,Sostenibilidad
421,enelpi,830092963,news98068,No Aplica,Regulacion
422,enelpi,830092963,news98074,No Aplica,Descartable
423,enelpi,830092963,news98087,Sector,Macroeconomia
424,enelpi,830092963,news98089,Sector,Macroeconomia
425,enelpi,830092963,news98090,No Aplica,Descartable
426,enelpi,830092963,news98094,No Aplica,Descartable
427,enelpi,830092963,news98103,No Aplica,Macroeconomia
428,enelpi,830092963,news98106,Sector,Macroeconomia
429,enelpi,830092963,news98108,No Aplica,Descartable
430,enelpi,830092963,news98112,No Aplica,Macroeconomia
431,enelpi,890301886,news10015,Sector,Otra
432,enelpi,890301886,news14742,No Aplica,Descartable
433,enelpi,890301886,news17760,No Aplica,Descartable
434,enelpi,890301886,news20691,No Aplica,Descartable
435,enelpi,890301886,news23481,No Aplica,Macroeconomia
436,enelpi,890301886,news23721,Sector,Sostenibilidad
437,enelpi,890301886,news34987,No Aplica,Descartable
438,enelpi,890301886,news44967,Sector,Sostenibilidad
439,enelpi,890301886,news58732,No Aplica,Sostenibilidad
440,enelpi,890301886,news61325,No Aplica,Descartable
441,enelpi,890301886,news70039,Sector,Regulacion
442,enelpi,890301886,news74575,No Aplica,Innovacion
443,enelpi,890301886,news74661,No Aplica,Descartable
444,enelpi,890301886,news95717,No Aplica,Descartable
445,enelpi,890301886,news95726,No Aplica,Descartable
446,enelpi,890301886,news95730,No Aplica,Descartable
447,enelpi,890301886,news95733,Sector,Otra
448,enelpi,890301886,news95734,Sector,Otra
449,enelpi,890301886,news95736,Sector,Otra
450,enelpi,890301886,news95738,Sector,Otra
451,enelpi,890301886,news95739,Sector,Otra
452,enelpi,890301886,news95740,Sector,Otra
453,enelpi,890301886,news95745,Sector,Regulacion
454,enelpi,890301886,news95746,Sector,Otra
455,enelpi,890301886,news96290,No Aplica,Macroeconomia
456,enelpi,890301886,news98119,No Aplica,Descartable
457,enelpi,890301886,news98130,No Aplica,Descartable
458,enelpi,890301886,news98133,No Aplica,Innovacion
459,enelpi,890301886,news98137,No Aplica,Descartable
460,enelpi,890301886,news98145,No Aplica,Macroeconomia
461,enelpi,890301886,news98146,No Aplica,Descartable
462,enelpi,890301886,news98147,No Aplica,Macroeconomia
463,enelpi,890301886,news98148,No Aplica,Descartable
464,enelpi,890301886,news98151,No Aplica,Innovacion
465,enelpi,890301886,news98155,No Aplica,Macroeconomia
466,enelpi,890301886,news98157,No Aplica,Sostenibilidad
467,enelpi,890301886,news98159,No Aplica,Descartable
468,enelpi,890301886,news98170,No Aplica,Descartable
469,enelpi,900723988,news10015,Sector,Otra
470,enelpi,900723988,news14742,No Aplica,Descartable
471,enelpi,900723988,news17760,No Aplica,Descartable
472,enelpi,900723988,news20691,No Aplica,Descartable
473,enelpi,900723988,news23481,No Aplica,Macroeconomia
474,enelpi,900723988,news23721,Sector,Sostenibilidad
475,enelpi,900723988,news34987,No Aplica,Descartable
476,enelpi,900723988,news44967,Sector,Sostenibilidad
477,enelpi,900723988,news58732,No Aplica,Sostenibilidad
478,enelpi,900723988,news61325,No Aplica,Descartable
479,enelpi,900723988,news70039,Sector,Regulacion
480,enelpi,900723988,news74575,No Aplica,Innovacion
481,enelpi,900723988,news74661,No Aplica,Descartable
482,enelpi,900723988,news95717,No Aplica,Descartable
483,enelpi,900723988,news95726,No Aplica,Descartable
484,enelpi,900723988,news95730,No Aplica,Descartable
485,enelpi,900723988,news95733,Sector,Otra
486,enelpi,900723988,news95734,Sector,Otra
487,enelpi,900723988,news95736,Sector,Otra
488,enelpi,900723988,news95738,Sector,Otra
489,enelpi,900723988,news95739,Sector,Otra
490,enelpi,900723988,news95740,Sector,Otra
491,enelpi,900723988,news95745,Sector,Regulacion
492,enelpi,900723988,news95746,Sector,Otra
493,enelpi,900723988,news96290,No Aplica,Macroeconomia
494,enelpi,900723988,news98119,No Aplica,Descartable
495,enelpi,900723988,news98130,No Aplica,Descartable
496,enelpi,900723988,news98133,No Aplica,Innovacion
497,enelpi,900723988,news98137,No Aplica,Descartable
498,enelpi,900723988,news98145,No Aplica,Macroeconomia
499,enelpi,900723988,news98146,No Aplica,Descartable
500,enelpi,900723988,news98147,No Aplica,Macroeconomia
501,enelpi,900723988,news98148,No Aplica,Descartable
502,enelpi,900723988,news98151,No Aplica,Innovacion
503,enelpi,900723988,news98155,No Aplica,Macroeconomia
504,enelpi,900723988,news98157,No Aplica,Sostenibilidad
505,enelpi,900723988,news98159,No Aplica,Descartable
506,enelpi,900723988,news98170,No Aplica,Descartable
507,enelpi,890900317,news10015,Sector,Otra
508,enelpi,890900317,news14742,No Aplica,Descartable
509,enelpi,890900317,news17760,No Aplica,Descartable
510,enelpi,890900317,news20691,No Aplica,Descartable
511,enelpi,890900317,news23481,No Aplica,Macroeconomia
512,enelpi,890900317,news23721,Sector,Sostenibilidad
513,enelpi,890900317,news34987,No Aplica,Descartable
514,enelpi,890900317,news44967,Sector,Sostenibilidad
515,enelpi,890900317,news58732,No Aplica,Sostenibilidad
516,enelpi,890900317,news61325,No Aplica,Descartable
517,enelpi,890900317,news70039,Sector,Regulacion
518,enelpi,890900317,news74575,No Aplica,Innovacion
519,enelpi,890900317,news74661,No Aplica,Descartable
520,enelpi,890900317,news95717,No Aplica,Descartable
521,enelpi,890900317,news95726,No Aplica,Descartable
522,enelpi,890900317,news95730,No Aplica,Descartable
523,enelpi,890900317,news95733,Sector,Otra
524,enelpi,890900317,news95734,Sector,Otra
